x  y  ex  ey
40.000000  141.519824  8.000000  0.558317
48.000000  138.426941  8.000000  0.397519
56.000000  134.096226  8.000000  0.503003
64.000000  132.619540  8.000000  0.390431
72.000000  131.050380  8.000000  0.352948
80.000000  129.324607  8.000000  0.411428
88.000000  129.319838  8.000000  0.361788
96.000000  129.170807  8.000000  0.447857
104.000000  129.933945  8.000000  0.345261
112.000000  131.333935  8.000000  0.486893
120.000000  132.630522  8.000000  0.364915
128.000000  136.189655  8.000000  0.541768
136.000000  138.273058  8.000000  0.409643
144.000000  141.067961  8.000000  0.585148
152.000000  142.888664  8.000000  0.537818
160.000000  147.818182  8.000000  0.648026
