x  y  ex  ey
40.000000  278.334802  8.000000  0.782989
48.000000  281.205479  8.000000  0.566578
56.000000  270.313208  8.000000  0.714160
64.000000  267.140230  8.000000  0.554128
72.000000  263.352662  8.000000  0.500335
80.000000  260.010471  8.000000  0.583376
88.000000  260.689271  8.000000  0.513669
96.000000  259.498447  8.000000  0.634782
104.000000  260.953211  8.000000  0.489292
112.000000  263.666065  8.000000  0.689878
120.000000  266.726908  8.000000  0.517492
128.000000  272.909483  8.000000  0.766920
136.000000  278.036408  8.000000  0.580881
144.000000  283.849515  8.000000  0.830033
152.000000  287.955466  8.000000  0.763483
160.000000  296.670455  8.000000  0.918049
