x  y  ex  ey
0.586824  141.519824  0.019432  0.558317
0.447736  138.426941  0.019432  0.397519
0.312697  134.096226  0.019432  0.503003
0.192169  132.619540  0.019432  0.390431
0.095492  131.050380  0.019432  0.352948
0.030154  129.324607  0.019432  0.411428
0.001218  129.319838  0.019432  0.361788
0.010926  129.170807  0.019432  0.447857
0.058526  129.933945  0.019432  0.345261
0.140330  131.333935  0.019432  0.486893
0.250000  132.630522  0.019432  0.364915
0.379039  136.189655  0.019432  0.541768
0.517450  138.273058  0.019432  0.409643
0.654508  141.067961  0.019432  0.585148
0.779596  142.888664  0.019432  0.537818
0.883022  147.818182  0.019432  0.648026
