x  y  ex  ey
0.586824  278.334802  0.019432  0.782989
0.447736  281.205479  0.019432  0.566578
0.312697  270.313208  0.019432  0.714160
0.192169  267.140230  0.019432  0.554128
0.095492  263.352662  0.019432  0.500335
0.030154  260.010471  0.019432  0.583376
0.001218  260.689271  0.019432  0.513669
0.010926  259.498447  0.019432  0.634782
0.058526  260.953211  0.019432  0.489292
0.140330  263.666065  0.019432  0.689878
0.250000  266.726908  0.019432  0.517492
0.379039  272.909483  0.019432  0.766920
0.517450  278.036408  0.019432  0.580881
0.654508  283.849515  0.019432  0.830033
0.779596  287.955466  0.019432  0.763483
0.883022  296.670455  0.019432  0.918049
