x  y  ex  ey
0.766044  141.519824  0.009740  0.558317
0.669131  138.426941  0.009740  0.397519
0.559193  134.096226  0.009740  0.503003
0.438371  132.619540  0.009740  0.390431
0.309017  131.050380  0.009740  0.352948
0.173648  129.324607  0.009740  0.411428
0.034899  129.319838  0.009740  0.361788
-0.104528  129.170807  0.009740  0.447857
-0.241922  129.933945  0.009740  0.345261
-0.374607  131.333935  0.009740  0.486893
-0.500000  132.630522  0.009740  0.364915
-0.615661  136.189655  0.009740  0.541768
-0.719340  138.273058  0.009740  0.409643
-0.809017  141.067961  0.009740  0.585148
-0.882948  142.888664  0.009740  0.537818
-0.939693  147.818182  0.009740  0.648026
