x  y  ex  ey
0.766044  278.334802  0.009740  0.782989
0.669131  281.205479  0.009740  0.566578
0.559193  270.313208  0.009740  0.714160
0.438371  267.140230  0.009740  0.554128
0.309017  263.352662  0.009740  0.500335
0.173648  260.010471  0.009740  0.583376
0.034899  260.689271  0.009740  0.513669
-0.104528  259.498447  0.009740  0.634782
-0.241922  260.953211  0.009740  0.489292
-0.374607  263.666065  0.009740  0.689878
-0.500000  266.726908  0.009740  0.517492
-0.615661  272.909483  0.009740  0.766920
-0.719340  278.036408  0.009740  0.580881
-0.809017  283.849515  0.009740  0.830033
-0.882948  287.955466  0.009740  0.763483
-0.939693  296.670455  0.009740  0.918049
