angle_deg,norm_counts,ex,ey
27.9,161.55,8,1.16028
28.8,161.5,8,1.64063
29.5,153.554,8,1.65591
30.2,153.567,8,2.2625
30.5,155.518,8,1.17837
31.6,156.283,8,1.61392
31.7,148.857,8,1.63039
32.8,148.117,8,1.11099
32.9,159.9,8,1.63248
36,152.673,8,1.71348
36.3,147.55,8,1.56817
37.2,145.808,8,1.1023
42.2,141.225,8,1.08484
43.9,142.283,8,1.0889
45.4,145.95,8,1.55965
45.5,143.196,8,1.13073
46.1,140.429,8,1.11974
46.5,140.308,8,1.08131
46.6,143.85,8,1.89638
46.7,141.475,8,1.32983
46.8,141.333,8,1.53478
48.2,140.179,8,1.11875
50.7,137.35,8,2.62059
50.8,134.875,8,1.83627
51.9,137.4,8,1.85338
52,136.6,8,1.30671
54,138.018,8,1.11009
54.6,137.683,8,1.51483
58.3,138.929,8,1.57508
58.6,133.85,8,1.05613
58.9,135.2,8,2.12289
59.5,135.217,8,1.06151
60,137.135,8,1.62395
60.5,138.768,8,1.57417
60.6,134.175,8,1.05741
60.8,137.65,8,1.85506
60.9,133.125,8,1.28999
61,134.483,8,1.49713
62.7,136.902,8,1.10559
63.4,132.933,8,0.941394
64.6,133.966,8,0.759893
69.2,133.367,8,1.05422
69.9,130.345,8,1.04658
70,137,8,11.7047
71.9,131.45,8,1.48015
72,132.615,8,1.59696
73.5,134.866,8,1.09734
74.2,134.625,8,1.09636
74.4,132.667,8,1.05145
74.9,134.375,8,1.54905
75,131.958,8,1.04864
75.4,133.642,8,1.05531
75.6,133.717,8,1.49285
77.2,131.85,8,1.04821
78.6,131.483,8,1.04675
79.4,131.96,8,1.14304
79.5,136.053,8,2.67594
80.3,132.795,8,1.08888
82.6,130.909,8,0.751176
83.7,129.433,8,1.46875
87.1,130.275,8,1.04193
87.7,128.65,8,1.79339
87.8,128.65,8,1.26812
88.5,130.625,8,1.04333
88.9,126.4,8,2.51396
89,132.125,8,1.81745
90,133.655,8,0.586916
91,126,8,1.77482
91.1,132.45,8,2.57342
91.5,129.858,8,1.04027
92.2,131.062,8,1.27995
92.3,130.1,8,1.80347
92.9,130.717,8,1.0437
96.3,131.283,8,1.47921
97.4,130.259,8,0.749306
99.7,133.545,8,1.09195
100.5,132.842,8,2.64418
100.6,131.505,8,1.14106
101.4,131,8,1.04483
102.8,130.6,8,1.04323
104.4,132.683,8,1.48707
104.6,131.342,8,1.04619
105,133.825,8,1.05603
105.1,135.875,8,1.55767
105.6,130.592,8,1.0432
105.8,133.616,8,1.09225
106.5,132.893,8,1.08929
108,138.385,8,1.63133
108.1,133.733,8,1.49295
110,160,8,12.6491
110.1,131.101,8,1.04961
110.8,133.092,8,1.05314
115.4,133.453,8,0.758437
116.6,133.193,8,0.942314
117.3,135.098,8,1.09829
119,133.65,8,1.49248
119.1,135.312,8,1.30054
119.2,134.7,8,1.83507
119.4,133.808,8,1.05597
119.5,134.589,8,1.55028
120,137.5,8,1.62611
120.5,134.692,8,1.05945
121.1,134.933,8,2.1208
121.4,135.8,8,1.0638
121.7,136.839,8,1.56319
125.4,135.867,8,1.50481
126,138.027,8,1.11013
128,137.7,8,1.31196
128.1,138.125,8,1.85826
129.2,136.475,8,1.84713
129.3,140.3,8,2.64858
131.8,140.616,8,1.12049
133.2,139.9,8,1.52698
133.3,141.275,8,1.32889
133.4,140.65,8,1.87517
133.5,138.917,8,1.07594
133.9,142.286,8,1.12712
134.5,140.357,8,1.11946
134.6,141.917,8,1.53795
136.1,139.892,8,1.07971
137.8,140.583,8,1.08237
142.8,142.475,8,1.08963
143.7,142.783,8,1.54263
144,148.769,8,1.69143
147.1,143.9,8,1.54866
147.2,141.85,8,1.08724
148.3,146.357,8,1.61664
148.4,144.8,8,1.55349
149.5,144.812,8,1.13709
149.8,142.067,8,2.17613
150.5,147.643,8,1.62372
151.2,146.383,8,1.56196
152.1,143.458,8,1.09338
160.6,147.633,8,1.56862
161.9,151.866,8,1.16445
162,148.733,8,1.1133
163.4,152.617,8,1.59487
164.9,148.911,8,1.63068
165.2,149.25,8,1.57718
180,150.513,8,1.37164
