angle_deg,norm_counts,ex,ey
27.9,294.633,8,1.56693
28.8,287.233,8,2.18797
29.5,281.982,8,2.24397
30.2,327.167,8,3.30236
30.5,289.464,8,1.60764
31.6,281.817,8,2.16724
31.7,308.875,8,2.34854
32.8,311.05,8,1.60999
32.9,292.167,8,2.20668
36,318,8,2.47293
36.3,313.7,8,2.28655
37.2,309.983,8,1.60723
42.2,338.558,8,1.67968
43.9,337.308,8,1.67657
45.4,334.833,8,2.36232
45.5,338.5,8,1.73848
46.1,335.955,8,1.73194
46.5,332.75,8,1.66521
46.6,345.85,8,2.94045
46.7,334.225,8,2.04397
46.8,338.983,8,2.37691
48.2,332.902,8,1.72405
50.7,332.15,8,4.07523
50.8,323.55,8,2.84407
51.9,329.125,8,2.86847
52,325.763,8,2.01793
54,327.214,8,1.70926
54.6,324.233,8,2.32463
58.3,328.375,8,2.42154
58.6,318.1,8,1.62814
58.9,317.6,8,3.25372
59.5,324.842,8,1.6453
60,325.558,8,2.50214
60.5,322.768,8,2.40077
60.6,321.633,8,1.63716
60.8,327.275,8,2.8604
60.9,321.863,8,2.00581
61,321.45,8,2.31463
62.7,322.821,8,1.69774
63.4,317.947,8,1.4559
64.6,316.996,8,1.16891
69.2,313.775,8,1.61703
69.9,315.395,8,1.628
70,317,8,17.8045
71.9,312.667,8,2.28279
72,317.904,8,2.47256
73.5,313.33,8,1.6726
74.2,316.938,8,1.6822
74.4,314,8,1.61761
74.9,317.857,8,2.38244
75,313.675,8,1.61677
75.4,317.075,8,1.62551
75.6,312.483,8,2.28212
77.2,314.992,8,1.62016
78.6,310.858,8,1.6095
79.4,306.584,8,1.74226
79.5,319.632,8,4.10155
80.3,314.777,8,1.67646
82.6,310.582,8,1.15703
83.7,305.533,8,2.2566
87.1,309.692,8,1.60648
87.7,304.675,8,2.75987
87.8,312.525,8,1.9765
88.5,309.133,8,1.60503
88.9,313.95,8,3.96201
89,306.7,8,2.76903
90,316.412,8,0.903048
91,301.525,8,2.74556
91.1,318.45,8,3.9903
91.5,308.608,8,1.60366
92.2,312.538,8,1.97654
92.3,306.825,8,2.76959
92.9,308.033,8,1.60217
96.3,307.683,8,2.26452
97.4,309.504,8,1.15502
99.7,317.589,8,1.68393
100.5,314.263,8,4.06696
100.6,307.614,8,1.74519
101.4,310.775,8,1.60928
102.8,313.933,8,1.61744
104.4,313.1,8,2.28437
104.6,312.492,8,1.61372
105,314.183,8,1.61808
105.1,318.143,8,2.38351
105.6,311.075,8,1.61006
105.8,315.554,8,1.67852
106.5,309.866,8,1.66333
108,324.712,8,2.49889
108.1,311.5,8,2.27852
110,322,8,17.9444
110.1,312.109,8,1.6195
110.8,311.875,8,1.61213
115.4,315.612,8,1.16636
116.6,315.267,8,1.44975
117.3,319.625,8,1.68932
119,317.417,8,2.30006
119.1,317.463,8,1.99205
119.2,323.15,8,2.84231
119.4,317.033,8,1.62541
119.5,320.125,8,2.39092
120,324.288,8,2.49726
120.5,320.1,8,1.63325
121.1,312,8,3.2249
121.4,321.583,8,1.63703
121.7,324.054,8,2.40555
125.4,320.633,8,2.31169
126,324.634,8,1.7025
128,328,8,2.02485
128.1,325.375,8,2.85208
129.2,325.325,8,2.85186
129.3,327,8,4.04351
131.8,329.562,8,1.71538
133.2,335.683,8,2.36532
133.3,335.312,8,2.04729
133.4,326.525,8,2.85712
133.5,329.975,8,1.65825
133.9,334.205,8,1.72742
134.5,331.393,8,1.72014
134.6,334.183,8,2.36003
136.1,332.725,8,1.66515
137.8,331.225,8,1.66139
142.8,340.092,8,1.68348
143.7,337,8,2.36995
144,349.385,8,2.59209
147.1,339.25,8,2.37785
147.2,336.642,8,1.67492
148.3,346.661,8,2.48805
148.4,344.6,8,2.39653
149.5,343.286,8,1.75073
149.8,339.4,8,3.36353
150.5,345.375,8,2.48343
151.2,349.317,8,2.41287
152.1,340.983,8,1.68568
160.6,350.133,8,2.41569
161.9,357.339,8,1.78621
162,353.092,8,1.71535
163.4,356.817,8,2.43864
164.9,358.268,8,2.52936
165.2,351.25,8,2.41954
180,357.325,8,2.11342
