angle_deg,norm_counts,ex,ey
27.9,0.45,8,0.0612372
28.8,0.433333,8,0.0849837
29.5,0.214286,8,0.061859
30.2,0.466667,8,0.124722
30.5,0.285714,8,0.0505076
31.6,0.35,8,0.0763763
31.7,0.196429,8,0.0592254
32.8,0.258333,8,0.046398
32.9,0.25,8,0.0645497
36,0.192308,8,0.060813
36.3,0.2,8,0.057735
37.2,0.216667,8,0.0424918
42.2,0.133333,8,0.0333333
43.9,0.133333,8,0.0333333
45.4,0.133333,8,0.0471405
45.5,0.151786,8,0.0368134
46.1,0.133929,8,0.0345802
46.5,0.208333,8,0.0416667
46.6,0.175,8,0.0661438
46.7,0.15,8,0.0433013
46.8,0.133333,8,0.0471405
48.2,0.142857,8,0.0357143
50.7,0.1,8,0.0707107
50.8,0.1,8,0.05
51.9,0.15,8,0.0612372
52,0.1125,8,0.0375
54,0.151786,8,0.0368134
54.6,0.15,8,0.05
58.3,0.160714,8,0.0535714
58.6,0.125,8,0.0322749
58.9,0.233333,8,0.0881917
59.5,0.116667,8,0.0311805
60,0.25,8,0.0693375
60.5,0.125,8,0.0472456
60.6,0.108333,8,0.0300463
60.8,0.15,8,0.0612372
60.9,0.1875,8,0.0484123
61,0.2,8,0.057735
62.7,0.0982143,8,0.0296127
63.4,0.113333,8,0.0274874
64.6,0.168103,8,0.0269181
69.2,0.0583333,8,0.0220479
69.9,0.109244,8,0.0302988
71.9,0.1,8,0.0408248
72,0.153846,8,0.0543928
73.5,0.0982143,8,0.0296127
74.2,0.0803571,8,0.0267857
74.4,0.108333,8,0.0300463
74.9,0.107143,8,0.0437409
75,0.125,8,0.0322749
75.4,0.075,8,0.025
75.6,0.2,8,0.057735
77.2,0.1,8,0.0288675
78.6,0.175,8,0.0381881
79.4,0.138614,8,0.0370461
79.5,0.157895,8,0.0911606
80.3,0.0714286,8,0.0252538
82.6,0.0905172,8,0.0197525
83.7,0.283333,8,0.0687184
87.1,0.116667,8,0.0311805
87.7,0.125,8,0.0559017
87.8,0.1125,8,0.0375
88.5,0.108333,8,0.0300463
88.9,0.05,8,0.05
89,0.075,8,0.0433013
90,0.126289,8,0.0180412
91,0.125,8,0.0559017
91.1,0.05,8,0.05
91.5,0.1,8,0.0288675
92.2,0.175,8,0.0467707
92.3,0.1,8,0.05
92.9,0.175,8,0.0381881
96.3,0.1,8,0.0408248
97.4,0.142241,8,0.024761
99.7,0.133929,8,0.0345802
100.5,0.210526,8,0.105263
100.6,0.138614,8,0.0370461
101.4,0.133333,8,0.0333333
102.8,0.1,8,0.0288675
104.4,0.0666667,8,0.0333333
104.6,0.108333,8,0.0300463
105,0.191667,8,0.0399653
105.1,0.125,8,0.0472456
105.6,0.133333,8,0.0333333
105.8,0.142857,8,0.0357143
106.5,0.142857,8,0.0357143
108,0.173077,8,0.0576923
108.1,0.0666667,8,0.0333333
110,1,8,1
110.1,0.184874,8,0.0394153
110.8,0.108333,8,0.0300463
115.4,0.0818966,8,0.0187884
116.6,0.1,8,0.0258199
117.3,0.116071,8,0.0321924
119,0.0333333,8,0.0235702
119.1,0.15,8,0.0433013
119.2,0.05,8,0.0353553
119.4,0.108333,8,0.0300463
119.5,0.0357143,8,0.0252538
120,0.115385,8,0.0471056
120.5,0.108333,8,0.0300463
121.4,0.0833333,8,0.0263523
121.7,0.0892857,8,0.0399298
125.4,0.0833333,8,0.0372678
126,0.0982143,8,0.0296127
128,0.15,8,0.0433013
128.1,0.075,8,0.0433013
129.2,0.1,8,0.05
129.3,0.1,8,0.0707107
131.8,0.0892857,8,0.0282346
133.2,0.15,8,0.05
133.3,0.0625,8,0.0279508
133.4,0.15,8,0.0612372
133.5,0.125,8,0.0322749
133.9,0.116071,8,0.0321924
134.5,0.133929,8,0.0345802
134.6,0.116667,8,0.0440959
136.1,0.15,8,0.0353553
137.8,0.133333,8,0.0333333
142.8,0.133333,8,0.0333333
143.7,0.05,8,0.0288675
144,0.134615,8,0.0508798
147.1,0.0833333,8,0.0372678
147.2,0.1,8,0.0288675
148.3,0.160714,8,0.0535714
148.4,0.0666667,8,0.0333333
149.5,0.125,8,0.0334077
149.8,0.1,8,0.057735
150.5,0.0357143,8,0.0252538
151.2,0.183333,8,0.0552771
152.1,0.116667,8,0.0311805
160.6,0.0833333,8,0.0372678
161.9,0.196429,8,0.0418787
162,0.0916667,8,0.0276385
163.4,0.0666667,8,0.0333333
164.9,0.142857,8,0.0505076
165.2,0.133333,8,0.0471405
180,0.1375,8,0.0414578
