angle_deg,norm_counts,ex,ey
27.9,0.583333,8,0.0697217
28.8,0.35,8,0.0763763
29.5,0.339286,8,0.0778375
30.2,0.3,8,0.1
30.5,0.321429,8,0.0535714
31.6,0.283333,8,0.0687184
31.7,0.321429,8,0.0757614
32.8,0.3,8,0.05
32.9,0.4,8,0.0816497
36,0.192308,8,0.060813
36.3,0.366667,8,0.0781736
37.2,0.275,8,0.0478714
42.2,0.191667,8,0.0399653
43.9,0.183333,8,0.0390868
45.4,0.333333,8,0.0745356
45.5,0.178571,8,0.0399298
46.1,0.169643,8,0.0389187
46.5,0.25,8,0.0456435
46.6,0.175,8,0.0661438
46.7,0.175,8,0.0467707
46.8,0.25,8,0.0645497
48.2,0.169643,8,0.0389187
50.7,0.25,8,0.111803
50.8,0.275,8,0.0829156
51.9,0.2,8,0.0707107
52,0.1375,8,0.0414578
54,0.258929,8,0.0480818
54.6,0.2,8,0.057735
58.3,0.214286,8,0.061859
58.6,0.233333,8,0.0440959
58.9,0.166667,8,0.0745356
59.5,0.275,8,0.0478714
60,0.192308,8,0.060813
60.5,0.178571,8,0.0564692
60.6,0.233333,8,0.0440959
60.8,0.15,8,0.0612372
60.9,0.2375,8,0.0544862
61,0.183333,8,0.0552771
62.7,0.160714,8,0.0378807
63.4,0.213333,8,0.0377124
64.6,0.159483,8,0.0262188
69.2,0.15,8,0.0353553
69.9,0.184874,8,0.0394153
71.9,0.2,8,0.057735
72,0.115385,8,0.0471056
73.5,0.160714,8,0.0378807
74.2,0.178571,8,0.0399298
74.4,0.183333,8,0.0390868
74.9,0.214286,8,0.061859
75,0.25,8,0.0456435
75.4,0.141667,8,0.0343592
75.6,0.233333,8,0.062361
77.2,0.141667,8,0.0343592
78.6,0.216667,8,0.0424918
79.4,0.138614,8,0.0370461
79.5,0.0526316,8,0.0526316
80.3,0.223214,8,0.0446429
82.6,0.219828,8,0.030782
83.7,0.15,8,0.05
87.1,0.133333,8,0.0333333
87.7,0.2,8,0.0707107
87.8,0.125,8,0.0395285
88.5,0.233333,8,0.0440959
88.9,0.35,8,0.132288
89,0.05,8,0.0353553
90,0.198454,8,0.0226159
91,0.225,8,0.075
91.1,0.25,8,0.111803
91.5,0.158333,8,0.0363242
92.2,0.2,8,0.05
92.3,0.175,8,0.0661438
92.9,0.175,8,0.0381881
96.3,0.183333,8,0.0552771
97.4,0.172414,8,0.027261
99.7,0.169643,8,0.0389187
100.5,0.157895,8,0.0911606
100.6,0.168317,8,0.0408228
101.4,0.125,8,0.0322749
102.8,0.216667,8,0.0424918
104.4,0.283333,8,0.0687184
104.6,0.2,8,0.0408248
105,0.191667,8,0.0399653
105.1,0.178571,8,0.0564692
105.6,0.183333,8,0.0390868
105.8,0.160714,8,0.0378807
106.5,0.258929,8,0.0480818
108,0.153846,8,0.0543928
108.1,0.216667,8,0.0600925
110.1,0.142857,8,0.0346479
110.8,0.191667,8,0.0399653
115.4,0.142241,8,0.024761
116.6,0.193333,8,0.0359011
117.3,0.1875,8,0.0409159
119,0.183333,8,0.0552771
119.1,0.175,8,0.0467707
119.2,0.175,8,0.0661438
119.4,0.191667,8,0.0399653
119.5,0.125,8,0.0472456
120,0.173077,8,0.0576923
120.5,0.158333,8,0.0363242
121.1,0.1,8,0.057735
121.4,0.158333,8,0.0363242
121.7,0.25,8,0.0668153
125.4,0.15,8,0.05
126,0.133929,8,0.0345802
128,0.1625,8,0.0450694
128.1,0.15,8,0.0612372
129.2,0.175,8,0.0661438
129.3,0.35,8,0.132288
131.8,0.232143,8,0.045527
133.2,0.15,8,0.05
133.3,0.15,8,0.0433013
133.4,0.125,8,0.0559017
133.5,0.191667,8,0.0399653
133.9,0.125,8,0.0334077
134.5,0.151786,8,0.0368134
134.6,0.183333,8,0.0552771
136.1,0.208333,8,0.0416667
137.8,0.141667,8,0.0343592
142.8,0.191667,8,0.0399653
143.7,0.116667,8,0.0440959
144,0.230769,8,0.0666173
147.1,0.183333,8,0.0552771
147.2,0.15,8,0.0353553
148.3,0.107143,8,0.0437409
148.4,0.2,8,0.057735
149.5,0.107143,8,0.0309295
149.8,0.166667,8,0.0745356
150.5,0.160714,8,0.0535714
151.2,0.1,8,0.0408248
152.1,0.158333,8,0.0363242
160.6,0.116667,8,0.0440959
161.9,0.116071,8,0.0321924
162,0.1,8,0.0288675
163.4,0.166667,8,0.0527046
164.9,0.232143,8,0.0643848
165.2,0.166667,8,0.0527046
180,0.2,8,0.05
