angle_deg,norm_counts,ex,ey
27.9,0.25,8,0.0456435
28.8,0.266667,8,0.0666667
29.5,0.232143,8,0.0643848
30.2,0.433333,8,0.120185
30.5,0.214286,8,0.0437409
31.6,0.3,8,0.0707107
31.7,0.267857,8,0.0691604
32.8,0.225,8,0.0433013
32.9,0.266667,8,0.0666667
36,0.211538,8,0.0637812
36.3,0.366667,8,0.0781736
37.2,0.141667,8,0.0343592
42.2,0.266667,8,0.0471405
43.9,0.158333,8,0.0363242
45.4,0.183333,8,0.0552771
45.5,0.142857,8,0.0357143
46.1,0.178571,8,0.0399298
46.5,0.125,8,0.0322749
46.6,0.275,8,0.0829156
46.7,0.0875,8,0.0330719
46.8,0.133333,8,0.0471405
48.2,0.0446429,8,0.0199649
50.7,0.15,8,0.0866025
50.8,0.075,8,0.0433013
51.9,0.1,8,0.05
52,0.0625,8,0.0279508
54,0.0625,8,0.0236228
54.6,0.0833333,8,0.0372678
58.3,0.107143,8,0.0437409
58.6,0.0916667,8,0.0276385
58.9,0.133333,8,0.0666667
59.5,0.0416667,8,0.0186339
60,0.0384615,8,0.0271964
60.5,0.0714286,8,0.0357143
60.6,0.0916667,8,0.0276385
60.8,0.05,8,0.0353553
60.9,0.0625,8,0.0279508
61,0.0666667,8,0.0333333
62.7,0.0446429,8,0.0199649
63.4,0.0666667,8,0.0210819
64.6,0.0646552,8,0.0166939
69.2,0.0333333,8,0.0166667
69.9,0.10084,8,0.0291101
71.9,0.0666667,8,0.0333333
72,0.134615,8,0.0508798
73.5,0.0535714,8,0.0218704
74.2,0.0357143,8,0.0178571
74.4,0.0416667,8,0.0186339
74.9,0.0357143,8,0.0252538
75,0.0416667,8,0.0186339
75.4,0.025,8,0.0144338
75.6,0.05,8,0.0288675
77.2,0.0666667,8,0.0235702
78.6,0.05,8,0.0204124
79.4,0.049505,8,0.0221393
80.3,0.0714286,8,0.0252538
82.6,0.0344828,8,0.0121915
87.1,0.0416667,8,0.0186339
87.7,0.1,8,0.05
87.8,0.0125,8,0.0125
88.5,0.0583333,8,0.0220479
88.9,0.05,8,0.05
89,0.075,8,0.0433013
90,0.0386598,8,0.00998192
91.5,0.075,8,0.025
92.2,0.0125,8,0.0125
92.3,0.025,8,0.025
92.9,0.0416667,8,0.0186339
96.3,0.0333333,8,0.0235702
97.4,0.0517241,8,0.0149315
99.7,0.0535714,8,0.0218704
100.5,0.0526316,8,0.0526316
100.6,0.029703,8,0.017149
101.4,0.0583333,8,0.0220479
102.8,0.0416667,8,0.0186339
104.4,0.133333,8,0.0471405
104.6,0.0833333,8,0.0263523
105,0.0666667,8,0.0235702
105.1,0.0178571,8,0.0178571
105.6,0.0416667,8,0.0186339
105.8,0.0446429,8,0.0199649
106.5,0.0446429,8,0.0199649
108,0.0961538,8,0.0430013
108.1,0.0333333,8,0.0235702
110.1,0.0504202,8,0.0205839
110.8,0.075,8,0.025
115.4,0.0474138,8,0.0142958
116.6,0.0133333,8,0.00942809
117.3,0.0535714,8,0.0218704
119,0.05,8,0.0288675
119.1,0.025,8,0.0176777
119.2,0.05,8,0.0353553
119.4,0.075,8,0.025
119.5,0.0714286,8,0.0357143
120,0.0769231,8,0.0384615
120.5,0.0416667,8,0.0186339
121.1,0.0666667,8,0.0471405
121.4,0.0416667,8,0.0186339
121.7,0.0357143,8,0.0252538
125.4,0.0333333,8,0.0235702
126,0.0535714,8,0.0218704
128,0.0375,8,0.0216506
129.2,0.025,8,0.025
129.3,0.1,8,0.0707107
131.8,0.0803571,8,0.0267857
133.2,0.05,8,0.0288675
133.3,0.075,8,0.0306186
133.4,0.05,8,0.0353553
133.5,0.0416667,8,0.0186339
133.9,0.0267857,8,0.0154647
134.5,0.0446429,8,0.0199649
134.6,0.0666667,8,0.0333333
136.1,0.0833333,8,0.0263523
137.8,0.025,8,0.0144338
142.8,0.075,8,0.025
144,0.0576923,8,0.0333087
147.1,0.0166667,8,0.0166667
147.2,0.025,8,0.0144338
148.3,0.0714286,8,0.0357143
148.4,0.0333333,8,0.0235702
149.5,0.0446429,8,0.0199649
149.8,0.0666667,8,0.0471405
150.5,0.0714286,8,0.0357143
151.2,0.0666667,8,0.0333333
152.1,0.05,8,0.0204124
160.6,0.116667,8,0.0440959
161.9,0.0446429,8,0.0199649
162,0.0916667,8,0.0276385
163.4,0.0166667,8,0.0166667
164.9,0.0178571,8,0.0178571
165.2,0.1,8,0.0408248
180,0.0625,8,0.0279508
