angle_deg,norm_counts,ex,ey
27.9,1.95,8,0.127475
28.8,1.68333,8,0.167498
29.5,1.21429,8,0.147254
30.2,2.06667,8,0.262467
30.5,1.21429,8,0.104124
31.6,1,8,0.129099
31.7,1.44643,8,0.160714
32.8,1.25833,8,0.102402
32.9,1.43333,8,0.15456
36,1.30769,8,0.158581
36.3,1.88333,8,0.177169
37.2,1.225,8,0.101036
42.2,1.63333,8,0.116667
43.9,1.43333,8,0.109291
45.4,1.58333,8,0.162447
45.5,1.32143,8,0.108621
46.1,1.07143,8,0.0978076
46.5,1.31667,8,0.104748
46.6,1.475,8,0.192029
46.7,1.0875,8,0.116592
46.8,1.46667,8,0.156347
48.2,1.14286,8,0.101015
50.7,1,8,0.223607
50.8,1.375,8,0.185405
51.9,1.4,8,0.187083
52,1.225,8,0.123744
54,1.27679,8,0.10677
54.6,1.08333,8,0.134371
58.3,1.10714,8,0.140607
58.6,1.35,8,0.106066
58.9,1.06667,8,0.188562
59.5,1.28333,8,0.103414
60,1.25,8,0.155043
60.5,1.08929,8,0.139469
60.6,1.30833,8,0.104416
60.8,1.1,8,0.165831
60.9,1.25,8,0.125
61,1.3,8,0.147196
62.7,1.40179,8,0.111875
63.4,1.26,8,0.0916515
64.6,1.19828,8,0.0718678
69.2,1.15833,8,0.0982486
69.9,1.15126,8,0.0983588
70,1,8,1
71.9,1.11667,8,0.136423
72,1.19231,8,0.151423
73.5,1.03571,8,0.0961637
74.2,1.27679,8,0.10677
74.4,1.18333,8,0.0993031
74.9,1.125,8,0.141737
75,1.20833,8,0.100347
75.4,1.2,8,0.1
75.6,1.16667,8,0.139443
77.2,0.95,8,0.0889757
78.6,1.15,8,0.0978945
79.4,1.18812,8,0.10846
79.5,0.894737,8,0.217006
80.3,1.25,8,0.105644
82.6,1.26724,8,0.073907
83.7,1.15,8,0.138444
87.1,1.05,8,0.0935414
87.7,1.525,8,0.195256
87.8,1.1,8,0.11726
88.5,1.2,8,0.1
88.9,1.5,8,0.273861
89,1.25,8,0.176777
90,1.27577,8,0.0573417
91,1.45,8,0.190394
91.1,1.45,8,0.269258
91.5,1.16667,8,0.0986013
92.2,1.3375,8,0.129301
92.3,0.975,8,0.156125
92.9,1.14167,8,0.0975392
96.3,1.2,8,0.141421
97.4,1.15517,8,0.0705634
99.7,1.03571,8,0.0961637
100.5,1.42105,8,0.273482
100.6,1.21782,8,0.109807
101.4,1.05833,8,0.0939119
102.8,1.18333,8,0.0993031
104.4,1.2,8,0.141421
104.6,1.05,8,0.0935414
105,1.20833,8,0.100347
105.1,1.125,8,0.141737
105.6,1.1,8,0.0957427
105.8,1.24107,8,0.105266
106.5,1.25893,8,0.106021
108,1.36538,8,0.162041
108.1,1.23333,8,0.143372
110,2,8,1.41421
110.1,1.05882,8,0.0943275
110.8,1.45,8,0.109924
115.4,1.05603,8,0.0674676
116.6,1.20667,8,0.0896908
117.3,1.15179,8,0.101409
119,1.38333,8,0.151841
119.1,1.125,8,0.118585
119.2,1.225,8,0.175
119.4,1.00833,8,0.0916667
119.5,0.910714,8,0.127526
120,1.25,8,0.155043
120.5,1.21667,8,0.100692
121.1,1.3,8,0.208167
121.4,1.1,8,0.0957427
121.7,1.17857,8,0.145072
125.4,1.13333,8,0.137437
126,0.866071,8,0.0879362
128,1.2,8,0.122474
128.1,0.85,8,0.145774
129.2,1.15,8,0.169558
129.3,1.65,8,0.287228
131.8,1.24107,8,0.105266
133.2,1.11667,8,0.136423
133.3,1.0875,8,0.116592
133.4,1.125,8,0.167705
133.5,1.05,8,0.0935414
133.9,1.10714,8,0.0994244
134.5,1.04464,8,0.0965773
134.6,1.16667,8,0.139443
136.1,1.14167,8,0.0975392
137.8,1.11667,8,0.0964653
142.8,1.1,8,0.0957427
143.7,1.08333,8,0.134371
144,1.25,8,0.155043
147.1,0.85,8,0.119024
147.2,1.075,8,0.0946485
148.3,0.928571,8,0.12877
148.4,1.23333,8,0.143372
149.5,1.16964,8,0.102192
149.8,1.1,8,0.191485
150.5,0.821429,8,0.121113
151.2,0.966667,8,0.12693
152.1,1.10833,8,0.0961047
160.6,0.8,8,0.11547
161.9,0.946429,8,0.0919253
162,0.958333,8,0.089365
163.4,0.9,8,0.122474
164.9,1.25,8,0.149404
165.2,1.28333,8,0.146249
180,1.0875,8,0.116592
