angle: 27.9, count: 3304, normalized count: 27.53333333333333
angle: 28.8, count: 1565, normalized count: 31.3
angle: 29.5, count: 1819, normalized count: 32.482142857142854
angle: 30.2, count: 890, normalized count: 29.666666666666668
angle: 30.5, count: 3495, normalized count: 31.205357142857142
angle: 31.6, count: 1761, normalized count: 29.349999999999998
angle: 31.7, count: 1730, normalized count: 37.608695652173914
angle: 32.8, count: 3430, normalized count: 28.583333333333332
angle: 32.9, count: 1713, normalized count: 28.55
angle: 36.0, count: 1792, normalized count: 34.46153846153847
angle: 36.3, count: 1641, normalized count: 27.349999999999998
angle: 37.2, count: 3353, normalized count: 27.941666666666666
angle: 42.2, count: 3359, normalized count: 33.59
angle: 43.9, count: 3329, normalized count: 27.741666666666667
angle: 45.4, count: 1634, normalized count: 27.233333333333334
angle: 45.5, count: 3420, normalized count: 30.535714285714285
angle: 46.1, count: 3298, normalized count: 29.44642857142857
angle: 46.5, count: 3088, normalized count: 25.733333333333334
angle: 46.6, count: 1055, normalized count: 26.375
angle: 46.7, count: 2189, normalized count: 27.3625
angle: 46.8, count: 1674, normalized count: 33.480000000000004
angle: 48.2, count: 3175, normalized count: 28.348214285714285
angle: 50.7, count: 563, normalized count: 28.150000000000002
angle: 50.8, count: 1085, normalized count: 27.125
angle: 51.9, count: 1018, normalized count: 25.450000000000003
angle: 52.0, count: 2152, normalized count: 26.900000000000002
angle: 54.0, count: 3123, normalized count: 27.88392857142857
angle: 54.6, count: 1515, normalized count: 25.25
angle: 58.3, count: 1604, normalized count: 34.869565217391305
angle: 58.6, count: 3108, normalized count: 25.9
angle: 58.9, count: 756, normalized count: 25.2
angle: 59.5, count: 3299, normalized count: 32.99
angle: 60.0, count: 1671, normalized count: 32.13461538461539
angle: 60.5, count: 1528, normalized count: 27.285714285714285
angle: 60.6, count: 3155, normalized count: 26.291666666666668
angle: 60.8, count: 1049, normalized count: 26.225
angle: 60.9, count: 2134, normalized count: 26.675
angle: 61.0, count: 1659, normalized count: 27.65
angle: 62.7, count: 2993, normalized count: 26.723214285714285
angle: 63.4, count: 3946, normalized count: 28.185714285714283
angle: 64.6, count: 6181, normalized count: 26.642241379310345
angle: 69.2, count: 3038, normalized count: 25.316666666666666
angle: 69.9, count: 3087, normalized count: 25.941176470588236
angle: 70.0, count: 23, normalized count: 23.0
angle: 71.9, count: 1544, normalized count: 25.733333333333334
angle: 72.0, count: 1543, normalized count: 29.673076923076923
angle: 73.5, count: 3074, normalized count: 27.44642857142857
angle: 74.2, count: 3151, normalized count: 28.13392857142857
angle: 74.4, count: 3122, normalized count: 26.016666666666666
angle: 74.9, count: 1572, normalized count: 28.07142857142857
angle: 75.0, count: 3076, normalized count: 30.76
angle: 75.4, count: 3164, normalized count: 26.366666666666667
angle: 75.6, count: 1502, normalized count: 25.03333333333333
angle: 77.2, count: 3162, normalized count: 31.62
angle: 78.6, count: 3014, normalized count: 25.116666666666667
angle: 79.4, count: 2418, normalized count: 23.940594059405942
angle: 79.5, count: 494, normalized count: 26.0
angle: 80.3, count: 3170, normalized count: 28.303571428571427
angle: 82.6, count: 6148, normalized count: 26.5
angle: 83.7, count: 1418, normalized count: 23.633333333333333
angle: 87.1, count: 3114, normalized count: 25.95
angle: 87.7, count: 1035, normalized count: 34.5
angle: 87.8, count: 2102, normalized count: 26.275000000000002
angle: 88.5, count: 2917, normalized count: 24.308333333333334
angle: 88.9, count: 521, normalized count: 26.05
angle: 89.0, count: 1012, normalized count: 25.3
angle: 90.0, count: 10840, normalized count: 29.13978494623656
angle: 91.0, count: 1055, normalized count: 26.375
angle: 91.1, count: 530, normalized count: 26.5
angle: 91.5, count: 3084, normalized count: 25.7
angle: 92.2, count: 2061, normalized count: 25.762500000000003
angle: 92.3, count: 957, normalized count: 31.9
angle: 92.9, count: 3036, normalized count: 25.3
angle: 96.3, count: 1464, normalized count: 24.4
angle: 97.4, count: 6013, normalized count: 25.91810344827586
angle: 99.7, count: 3121, normalized count: 27.866071428571427
angle: 100.5, count: 504, normalized count: 26.52631578947368
angle: 100.6, count: 2491, normalized count: 24.663366336633665
angle: 101.4, count: 3023, normalized count: 25.191666666666666
angle: 102.8, count: 3157, normalized count: 31.57
angle: 104.4, count: 1463, normalized count: 24.383333333333333
angle: 104.6, count: 3071, normalized count: 25.591666666666665
angle: 105.0, count: 3051, normalized count: 30.51
angle: 105.1, count: 1635, normalized count: 29.19642857142857
angle: 105.6, count: 2991, normalized count: 24.925
angle: 105.8, count: 3156, normalized count: 28.178571428571427
angle: 106.5, count: 3078, normalized count: 27.482142857142854
angle: 108.0, count: 1505, normalized count: 28.942307692307693
angle: 108.1, count: 1499, normalized count: 24.983333333333334
angle: 110.0, count: 22, normalized count: 22.0
angle: 110.1, count: 3257, normalized count: 27.369747899159663
